service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATB:Timetable:1600021-2019-04-22,1,1,0,1,1,0,0,20190422,20190622
ATB:Timetable:1600064-2019-04-22,0,1,0,1,1,0,0,20190422,20190622
ATB:Timetable:1600008-2019-06-24,1,0,1,0,1,0,0,20190624,20190803
ATB:Timetable:1600018-2019-06-24,1,0,1,1,1,0,0,20190624,20190803
ATB:Timetable:1600001-2019-04-22,1,1,1,1,1,0,0,20190422,20190622
ATB:Timetable:1600041-2019-04-22,0,0,1,0,0,0,0,20190422,20190620
ATB:Timetable:1600034-2019-04-22,0,0,1,0,1,0,0,20190422,20190622
ATB:Timetable:1600015-2019-06-24,1,1,1,0,0,0,0,20190624,20190801
ATB:Timetable:1600044-2019-04-22,1,1,1,1,0,0,0,20190422,20190621
ATB:Timetable:1600011-2019-04-22,0,0,0,0,1,0,0,20190422,20190622
ATB:Timetable:1600019-2019-04-22,0,1,0,0,0,0,0,20190422,20190619
ATB:Timetable:1600022-2019-06-24,0,1,0,1,1,0,0,20190624,20190803
ATB:Timetable:1600029-2019-04-22,1,1,1,1,1,0,0,20190422,20190622
ATB:Timetable:1600039-2019-04-22,1,0,1,0,0,0,0,20190422,20190620
ATB:Timetable:1600061-2019-04-22,0,1,1,0,0,0,0,20190422,20190620
ATB:Timetable:1600049-2019-04-22,0,0,0,1,0,0,0,20190422,20190621
ATB:Timetable:1600012-2019-06-24,0,0,0,1,0,0,0,20190624,20190802
ATB:Timetable:1600069-2019-04-22,0,0,1,0,0,0,0,20190422,20190620
ATB:Timetable:1600072-2019-04-22,1,1,1,1,1,0,0,20190422,20190622
ATB:Timetable:1600023-2019-04-22,1,0,1,1,0,0,0,20190422,20190621
ATB:Timetable:1600062-2019-04-22,1,0,1,0,1,0,0,20190422,20190622
ATB:Timetable:1600009-2019-06-24,1,0,1,0,0,0,0,20190624,20190801
ATB:Timetable:1600007-2019-06-24,1,1,1,1,0,0,0,20190624,20190802
ATB:Timetable:1600063-2019-04-22,0,1,0,1,0,0,0,20190422,20190621
ATB:Timetable:1600017-2019-06-24,0,1,0,0,0,0,0,20190624,20190731
ATB:Timetable:1600020-2019-06-24,0,1,1,0,0,0,0,20190624,20190801
ATB:Timetable:1600024-2019-04-22,1,0,1,0,1,0,0,20190422,20190622
ATB:Timetable:1600014-2019-04-22,1,1,0,0,0,0,0,20190422,20190619
ATB:Timetable:1600018-2019-04-22,1,0,1,1,1,0,0,20190422,20190622
ATB:Timetable:1600001-2019-06-24,1,1,1,1,1,0,0,20190624,20190803
ATB:Timetable:1600021-2019-06-24,0,1,0,1,0,0,0,20190624,20190802
ATB:Timetable:1600028-2019-04-22,1,0,1,0,1,0,0,20190422,20190622
ATB:Timetable:1600070-2019-04-22,0,1,0,0,1,0,0,20190422,20190622
ATB:Timetable:1600015-2019-04-22,0,0,1,1,1,0,0,20190422,20190622
ATB:Timetable:1600058-2019-04-22,0,0,0,1,1,0,0,20190422,20190622
ATB:Timetable:1600038-2019-04-22,0,1,1,1,1,0,0,20190422,20190622
ATB:Timetable:1600011-2019-06-24,0,1,0,1,0,0,0,20190624,20190802
ATB:Timetable:1600022-2019-04-22,0,1,0,0,1,0,0,20190422,20190622
ATB:Timetable:1600019-2019-06-24,1,1,1,0,1,0,0,20190624,20190803
ATB:Timetable:1600025-2019-04-22,1,0,1,0,0,0,0,20190422,20190620
ATB:Timetable:1600035-2019-04-22,1,1,0,0,1,0,0,20190422,20190622
ATB:Timetable:1600065-2019-04-22,0,0,0,0,0,0,1,20190422,20190624
ATB:Timetable:1600032-2019-04-22,1,1,1,1,1,0,0,20190422,20190622
ATB:Timetable:1600068-2019-04-22,1,1,1,1,1,0,0,20190422,20190622
ATB:Timetable:1600016-2019-06-24,1,0,0,1,1,0,0,20190624,20190803
ATB:Timetable:1600006-2019-06-24,0,0,0,0,1,0,0,20190624,20190803
ATB:Timetable:1600036-2019-04-22,1,1,1,1,1,0,0,20190422,20190622
ATB:Timetable:1600026-2019-04-22,1,1,1,1,1,0,0,20190422,20190622
ATB:Timetable:1600007-2019-04-22,0,0,1,0,0,0,0,20190422,20190620
ATB:Timetable:1600013-2019-06-24,0,0,1,0,0,0,0,20190624,20190801
ATB:Timetable:1600046-2019-04-22,1,1,1,0,0,0,0,20190422,20190620
ATB:Timetable:1600009-2019-04-22,0,0,0,1,0,0,0,20190422,20190621
ATB:Timetable:1600017-2019-04-22,1,1,1,0,0,0,0,20190422,20190620
ATB:Timetable:1600020-2019-04-22,1,1,1,0,1,0,0,20190422,20190622
ATB:Timetable:1600014-2019-06-24,0,0,0,1,1,0,0,20190624,20190803
ATB:Timetable:1600010-2019-04-22,1,1,1,1,0,0,0,20190422,20190621
ATB:Timetable:1600004-2019-06-24,0,0,0,0,1,1,0,20190624,20190803
ATB:Timetable:1600008-2019-04-22,0,0,0,0,0,1,0,20190422,20190623
