shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
ATB:JourneyPattern:0880202-2019-04-22,63.50957,10.14028,0,0.0
ATB:JourneyPattern:0880202-2019-04-22,63.50953,10.14217,1,210.44095
ATB:JourneyPattern:0880202-2019-04-22,63.50934,10.14568,2,601.7444
ATB:JourneyPattern:0880202-2019-04-22,63.5088,10.14774,3,838.8105
ATB:JourneyPattern:0880202-2019-04-22,63.50712,10.15117,4,1263.9767
ATB:JourneyPattern:0880202-2019-04-22,63.46359,10.19941,5,8497.139
ATB:JourneyPattern:0880202-2019-04-22,63.46052,10.2013,6,8898.46
ATB:JourneyPattern:0880202-2019-04-22,63.45802,10.20273,7,9219.07
ATB:JourneyPattern:0880202-2019-04-22,63.4561,10.20377,8,9462.145
ATB:JourneyPattern:0880202-2019-04-22,63.45564,10.20394,9,9516.736
ATB:JourneyPattern:0880202-2019-04-22,63.45499,10.20413,10,9592.122
ATB:JourneyPattern:0880202-2019-04-22,63.45426,10.2042,11,9673.758
ATB:JourneyPattern:0880202-2019-04-22,63.45371,10.20405,12,9737.22
ATB:JourneyPattern:0880202-2019-04-22,63.4528,10.20374,13,9844.237
ATB:JourneyPattern:0880202-2019-04-22,63.4521,10.20315,14,9946.148
ATB:JourneyPattern:0880202-2019-04-22,63.45122,10.20172,15,10133.062
ATB:JourneyPattern:0880202-2019-04-22,63.45122,10.20172,16,10133.062
ATB:JourneyPattern:0880101-2019-04-22,63.45122,10.20172,0,0.0
ATB:JourneyPattern:0880101-2019-04-22,63.4521,10.20315,1,186.91402
ATB:JourneyPattern:0880101-2019-04-22,63.4528,10.20374,2,288.82455
ATB:JourneyPattern:0880101-2019-04-22,63.45371,10.20405,3,395.84192
ATB:JourneyPattern:0880101-2019-04-22,63.45426,10.2042,4,459.30377
ATB:JourneyPattern:0880101-2019-04-22,63.45499,10.20413,5,540.93976
ATB:JourneyPattern:0880101-2019-04-22,63.45564,10.20394,6,616.3253
ATB:JourneyPattern:0880101-2019-04-22,63.4561,10.20377,7,670.9173
ATB:JourneyPattern:0880101-2019-04-22,63.45802,10.20273,8,913.99176
ATB:JourneyPattern:0880101-2019-04-22,63.46052,10.2013,9,1234.6016
ATB:JourneyPattern:0880101-2019-04-22,63.46359,10.19941,10,1635.9233
ATB:JourneyPattern:0880101-2019-04-22,63.50712,10.15117,11,8869.085
ATB:JourneyPattern:0880101-2019-04-22,63.5088,10.14774,12,9294.252
ATB:JourneyPattern:0880101-2019-04-22,63.50934,10.14568,13,9531.317
ATB:JourneyPattern:0880101-2019-04-22,63.50953,10.14217,14,9922.621
ATB:JourneyPattern:0880101-2019-04-22,63.50957,10.14028,15,10133.062
ATB:JourneyPattern:0880101-2019-04-22,63.50957,10.14028,16,10133.062
