service_id,date,exception_type
ATB:Timetable:1600047-2019-08-10,20190814,2
ATB:Timetable:1600047-2019-08-10,20191009,2
ATB:Timetable:1600014-2019-08-10,20191007,2
ATB:Timetable:1600014-2019-08-10,20191008,2
ATB:Timetable:1600014-2019-08-10,20191009,2
ATB:Timetable:1600026-2019-08-03,20190805,1
ATB:Timetable:1600026-2019-08-03,20190807,1
ATB:Timetable:1600034-2019-08-10,20190812,2
ATB:Timetable:1600034-2019-08-10,20190813,2
ATB:Timetable:1600034-2019-08-10,20190814,2
ATB:Timetable:1600034-2019-08-10,20191007,2
ATB:Timetable:1600034-2019-08-10,20191008,2
ATB:Timetable:1600034-2019-08-10,20191009,2
ATB:Timetable:1600034-2019-08-10,20191011,2
ATB:Timetable:1600034-2019-08-10,20191129,2
ATB:Timetable:1600024-2019-08-10,20191011,2
ATB:Timetable:1600016-2019-08-03,20190806,1
ATB:Timetable:1600016-2019-08-03,20190809,1
ATB:Timetable:1600044-2019-08-10,20191011,1
ATB:Timetable:1600064-2019-08-10,20191007,1
ATB:Timetable:1600064-2019-08-10,20191008,1
ATB:Timetable:1600064-2019-08-10,20191009,1
ATB:Timetable:1600064-2019-08-10,20191010,1
ATB:Timetable:1600064-2019-08-10,20191011,1
ATB:Timetable:1600064-2019-08-10,20191129,1
ATB:Timetable:1600019-2019-08-03,20190805,1
ATB:Timetable:1600019-2019-08-03,20190807,1
ATB:Timetable:1600019-2019-08-03,20190808,1
ATB:Timetable:1600027-2019-08-10,20191007,2
ATB:Timetable:1600027-2019-08-10,20191010,2
ATB:Timetable:1600009-2019-08-03,20190806,1
ATB:Timetable:1600009-2019-08-03,20190807,1
ATB:Timetable:1600009-2019-08-03,20190808,1
ATB:Timetable:1600007-2019-08-03,20190806,1
ATB:Timetable:1600007-2019-08-03,20190807,1
ATB:Timetable:1600007-2019-08-03,20190808,1
ATB:Timetable:1600007-2019-08-03,20190809,1
ATB:Timetable:1600017-2019-08-10,20191008,2
ATB:Timetable:1600017-2019-08-10,20191011,2
