route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
ATB:Line:0490-2019-08-03,ATB:Authority:160,490,Osen - Sjøåsen,,704,,,
ATB:Line:0010-2019-08-03,ATB:Authority:160,10,Sæterbakken- Strindheim- Sentr,,704,,,
ATB:Line:0003-2019-08-03,ATB:Authority:160,3,Lohove- Sentrum- Hallset,,704,,,
ATB:Line:0002-2019-08-03,ATB:Authority:160,2,Strindheim- Lade- sentrum- Sau,,704,,,
ATB:Line:0521-2019-08-03,ATB:Authority:160,521,Fillan - Fjellværøya - Fillan,,704,,,
ATB:Line:0524-2019-08-03,ATB:Authority:160,524,Sistranda - Gurvikdal - Nordsk,,704,,,
ATB:Line:0805-2019-08-03,ATB:Authority:160,805,Trondheim - Brekstad,,6,,,
ATB:Line:0001-2019-08-03,ATB:Authority:160,1,Ranheim - Strindheim - sentrum,,704,,,
ATB:Line:0880-2019-08-03,ATB:Authority:160,880,Flakk - Rørvik,,1004,,,
ATB:Line:0088-2019-08-03,ATB:Authority:160,88,Brekkåsen - Melhus,,704,,,
ATB:Line:0020-2019-08-03,ATB:Authority:160,20,Grilstad - Strindheim - Ladeha,,704,,,
ATB:Line:4101-2019-08-03,ATB:Authority:160,4101,Nattbuss Trondheim - Orkanger,,704,,,
ATB:Line:0009-2019-08-03,ATB:Authority:160,9,St. Olavs gate - Lian,,902,,,
ATB:Line:0800-2019-08-03,ATB:Authority:160,800,Trondheim - Brekstad - Kristia,,6,,,
ATB:Line:0015-2019-08-03,ATB:Authority:160,15,Østmarka- Strindheim- E6- Nida,,704,,,
ATB:Line:0810-2019-08-03,ATB:Authority:160,810,Trondheim - Vanvikan,,6,,,
ATB:Line:0535-2019-08-03,ATB:Authority:160,535,Selbu - Tydal,,704,,,
ATB:Line:0021-2019-08-03,ATB:Authority:160,21,Brattøra- Sentrum- Ilsvika/Tro,,704,,,
ATB:Line:0410-2019-08-03,ATB:Authority:160,410,Trondheim - Orkanger - (Fannre,,704,,,
ATB:Line:0014-2019-08-03,ATB:Authority:160,14,Lerkendal- Brundalen- Strindhe,,704,,,
ATB:Line:0013-2019-08-03,ATB:Authority:160,13,Østmarka- Strindheim- Lerkenda,,704,,,
ATB:Line:0016-2019-08-03,ATB:Authority:160,16,Flatåsen- Heimdal- Torgård,,704,,,
ATB:Line:0670-2019-08-03,ATB:Authority:160,670,Stjørdal - Meråker - Storlien,,704,,,
ATB:Line:0012-2019-08-03,ATB:Authority:160,12,Dragvoll - Strindheim - sentru,,704,,,
ATB:Line:0770-2019-08-03,ATB:Authority:160,770,Stjørdal - Smedhaugen,,704,,,
ATB:Line:0011-2019-08-03,ATB:Authority:160,11,Blakli- Sentrum- Stavset,,704,,,
ATB:Line:0420-2019-08-03,ATB:Authority:160,420,(Sunde) - Sandstad - Sistranda,,704,,,
ATB:Line:0024-2019-08-03,ATB:Authority:160,24,Tiller- Okstad- Rate- Lerkenda,,704,,,
ATB:Line:0026-2019-08-03,ATB:Authority:160,26,Sentrum- Skistua,,704,,,
ATB:Line:0820-2019-08-03,ATB:Authority:160,820,Dyrøy - Lomsøya - Maursundvær,,6,,,
ATB:Line:0022-2019-08-03,ATB:Authority:160,22,Vestlia- Othilienborg- Sentrum,,704,,,
ATB:Line:0421-2019-08-03,ATB:Authority:160,421,Orkanger - Lensvik - Valset/Væ,,704,,,
ATB:Line:0025-2019-08-03,ATB:Authority:160,25,Vikåsen- Strindheim- Singsaker,,704,,,
ATB:Line:0541-2019-08-03,ATB:Authority:160,541,Røros - Brekken,,704,,,
ATB:Line:0042-2019-08-03,ATB:Authority:160,42,Buenget- Hallset- Munkvoll,,704,,,
ATB:Line:0825-2019-08-03,ATB:Authority:160,825,Dyrøy - Lomsøya,,1004,,,
ATB:Line:0540-2019-08-03,ATB:Authority:160,540,Røros - Synnervika,,704,,,
ATB:Line:0023-2019-08-03,ATB:Authority:160,23,Brattøra - St. Olavs- Hallset,,704,,,
ATB:Line:0830-2019-08-03,ATB:Authority:160,830,Sandvikberget - Sætervik,,6,,,
ATB:Line:0041-2019-08-03,ATB:Authority:160,41,Ranheim- Reppe,,704,,,
ATB:Line:0040-2019-08-03,ATB:Authority:160,40,Flatåsen- Tonstad,,704,,,
ATB:Line:0043-2019-08-03,ATB:Authority:160,43,Bergheim/Voll studentby- Blakl,,704,,,
ATB:Line:0054-2019-08-03,ATB:Authority:160,54,Vikåsen/Ranheim- Lade- sentrum,,704,,,
ATB:Line:0053-2019-08-03,ATB:Authority:160,53,Lundåsen- Heimdal- Saupstad- F,,704,,,
ATB:Line:0835-2019-08-03,ATB:Authority:160,835,Sandvikberget - Sætervik - Bes,,6,,,
ATB:Line:0310-2019-08-03,ATB:Authority:160,310,Stjørdal - Trondheim - Orkange,,704,,,
ATB:Line:0205-2019-08-03,ATB:Authority:160,205,Storsand/Smiskaret- Hommelvik-,,704,,,
ATB:Line:0450-2019-08-03,ATB:Authority:160,450,Trondheim - Stadsbygd - Rissa,,704,,,
ATB:Line:0202-2019-08-03,ATB:Authority:160,202,Olderdalen - Engstrømbakken,,704,,,
ATB:Line:0204-2019-08-03,ATB:Authority:160,204,Hommelvik skole- Sneisen,,704,,,
ATB:Line:0050-2019-08-03,ATB:Authority:160,50,Sverresborg - Byåsen - Flatåse,,704,,,
ATB:Line:0601-2019-08-03,ATB:Authority:160,601,Stjørdal stasjon - Terrassehus,,704,,,
ATB:Line:0044-2019-08-03,ATB:Authority:160,44,Strindheim - Klokkerplasser -,,704,,,
ATB:Line:0201-2019-08-03,ATB:Authority:160,201,Ranheim- Være- Vikåsen/Markapl,,704,,,
ATB:Line:0046-2019-08-03,ATB:Authority:160,46,Heggstadmyra- Lundåsen,,704,,,
ATB:Line:0203-2019-08-03,ATB:Authority:160,203,Muruvik- Hommelvik,,704,,,
ATB:Line:0208-2019-08-03,ATB:Authority:160,208,Rye- Flakk- Rye skole / Spongd,,704,,,
ATB:Line:0320-2019-08-03,ATB:Authority:160,320,Trondheim - Orkanger - Hitra -,,704,,,
ATB:Line:0045-2019-08-03,ATB:Authority:160,45,Sjetnmarka- Tiller- Tillerring,,704,,,
ATB:Line:0561-2019-08-03,ATB:Authority:160,561,Hafsmo/Tannvikvågen - Krokstad,,704,,,
ATB:Line:0460-2019-08-03,ATB:Authority:160,460,(Trondheim) - Orkanger - Melda,,704,,,
ATB:Line:0207-2019-08-03,ATB:Authority:160,207,Vikhammer skole,,704,,,
ATB:Line:0206-2019-08-03,ATB:Authority:160,206,Hommelvik- Sveberg,,704,,,
ATB:Line:0209-2019-08-03,ATB:Authority:160,209,Spongdal- Hangeråsen- Rye- Spo,,704,,,
ATB:Line:0216-2019-08-03,ATB:Authority:160,216,City Syd/Heimdal- Skjetlein,,704,,,
ATB:Line:0215-2019-08-03,ATB:Authority:160,215,Lauglo/Fjøsvollan- Leinum- Nyp,,704,,,
ATB:Line:0580-2019-08-03,ATB:Authority:160,580,Oppdal - Gjevilvasshytta,,704,,,
ATB:Line:0340-2019-08-03,ATB:Authority:160,340,Trondheim - Støren - Røros,,704,,,
ATB:Line:0850-2019-08-03,ATB:Authority:160,850,Dypfest - Tarva,,1004,,,
ATB:Line:0212-2019-08-03,ATB:Authority:160,212,Rye skole- Flakk/Hangeråsen- R,,704,,,
ATB:Line:0211-2019-08-03,ATB:Authority:160,211,Værestrøa- Vikåsen- Brundalen,,704,,,
ATB:Line:0214-2019-08-03,ATB:Authority:160,214,Klæbu- Bjørkli- Ler,,704,,,
ATB:Line:0217-2019-08-03,ATB:Authority:160,217,Flakk- Lund,,704,,,
ATB:Line:0210-2019-08-03,ATB:Authority:160,210,Spongdal- Berg- Megarden- Spon,,704,,,
ATB:Line:0451-2019-08-03,ATB:Authority:160,451,(Krinsvatnet) - Botngård - Bre,,704,,,
ATB:Line:0330-2019-08-03,ATB:Authority:160,330,Trondheim - Stjørdal - Selbu -,,704,,,
ATB:Line:0592-2019-08-03,ATB:Authority:160,592,Åfjord - Stjern,,704,,,
ATB:Line:0350-2019-08-03,ATB:Authority:160,350,Trondheim - Rissa - Åfjord - O,,704,,,
ATB:Line:0075-2019-08-03,ATB:Authority:160,75,Trondheim S- Sentrum- Spongdal,,704,,,
ATB:Line:0855-2019-08-03,ATB:Authority:160,855,Garten - Storfosna,,1004,,,
