from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747192_6172_190619065679393,ATB:ServiceJourney:72_190619065755125_6058_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747189_6166_190619065679393,ATB:ServiceJourney:72_190619065755124_6056_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747204_7016_190619065679393,ATB:ServiceJourney:72_190619065755129_7006_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747110_6008_190619065679393,ATB:ServiceJourney:72_190619065755098_6004_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065746983_10_190619065679393,ATB:ServiceJourney:73_190619065755240_4_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747231_7070_190619065679393,ATB:ServiceJourney:72_190619065755138_7024_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747224_7056_190619065679393,ATB:ServiceJourney:74_190619065755327_7020_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747221_7050_190619065679393,ATB:ServiceJourney:74_190619065755326_7018_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747201_7010_190619065679393,ATB:ServiceJourney:72_190619065755128_7004_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747154_6096_190619065679393,ATB:ServiceJourney:74_190619065755309_6016_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747148_6084_190619065679393,ATB:ServiceJourney:74_190619065755308_6014_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747130_6048_190619065679393,ATB:ServiceJourney:74_190619065755305_6008_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747107_6002_190619065679393,ATB:ServiceJourney:72_190619065755097_6002_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747190_6168_190619065679393,ATB:ServiceJourney:74_190619065755316_6030_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747187_6162_190619065679393,ATB:ServiceJourney:74_190619065755315_6028_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747096_236_190619065679393,ATB:ServiceJourney:74_190619065755299_38_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747096_236_190619065679393,ATB:ServiceJourney:72_190619065755093_64_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747236_7080_190619065679393,ATB:ServiceJourney:74_190619065755331_7028_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747222_7052_190619065679393,ATB:ServiceJourney:72_190619065755135_7018_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747219_7046_190619065679393,ATB:ServiceJourney:72_190619065755134_7016_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748257_7092_190619065679393,ATB:ServiceJourney:42_190619065754354_7091_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748120_6002_190619065679393,ATB:ServiceJourney:42_190619065754254_6001_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748123_6008_190619065679393,ATB:ServiceJourney:42_190619065754257_6007_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748216_7010_190619065679393,ATB:ServiceJourney:42_190619065754313_7009_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748220_7018_190619065679393,ATB:ServiceJourney:42_190619065754317_7017_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748221_7020_190619065679393,ATB:ServiceJourney:42_190619065754318_7019_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748223_7024_190619065679393,ATB:ServiceJourney:42_190619065754320_7023_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748232_7042_190619065679393,ATB:ServiceJourney:42_190619065754329_7041_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748235_7048_190619065679393,ATB:ServiceJourney:42_190619065754332_7047_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748236_7050_190619065679393,ATB:ServiceJourney:42_190619065754333_7049_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748056_92_190619065679393,ATB:ServiceJourney:42_190619065754216_47_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748054_88_190619065679393,ATB:ServiceJourney:42_190619065754215_45_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747178_6144_190619065679393,ATB:ServiceJourney:74_190619065755313_6024_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747118_6024_190619065679393,ATB:ServiceJourney:74_190619065755303_6004_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748122_6006_190619065679393,ATB:ServiceJourney:42_190619065754256_6005_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748247_7072_190619065679393,ATB:ServiceJourney:42_190619065754344_7071_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747136_6060_190619065679393,ATB:ServiceJourney:74_190619065755306_6010_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748022_24_190619065679393,ATB:ServiceJourney:42_190619065754199_13_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747051_146_190619065679393,ATB:ServiceJourney:74_190619065755292_24_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747051_146_190619065679393,ATB:ServiceJourney:73_190619065755252_28_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748038_56_190619065679393,ATB:ServiceJourney:42_190619065754207_29_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747037_118_190619065679393,ATB:ServiceJourney:74_190619065755289_18_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747037_118_190619065679393,ATB:ServiceJourney:73_190619065755249_22_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747003_50_190619065679393,ATB:ServiceJourney:74_190619065755284_8_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748238_7054_190619065679393,ATB:ServiceJourney:42_190619065754335_7053_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748239_7056_190619065679393,ATB:ServiceJourney:42_190619065754336_7055_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748242_7062_190619065679393,ATB:ServiceJourney:42_190619065754339_7061_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748243_7064_190619065679393,ATB:ServiceJourney:42_190619065754340_7063_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748252_7082_190619065679393,ATB:ServiceJourney:42_190619065754349_7081_190619065679393,3,
