service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATB:Timetable:1600038-2019-01-01,1,1,1,0,0,0,0,20190101,20190620
ATB:Timetable:1600041-2019-01-01,1,1,1,1,1,0,0,20190101,20190622
ATB:Timetable:1600018-2019-01-01,0,0,0,0,0,1,0,20190101,20190623
ATB:Timetable:1600021-2019-01-01,0,0,0,1,1,0,0,20190101,20190622
ATB:Timetable:1600031-2019-01-01,1,0,1,0,0,0,0,20190101,20190620
ATB:Timetable:1600028-2019-01-01,0,1,1,1,0,0,0,20190101,20190621
ATB:Timetable:1600033-2019-01-01,1,0,1,1,0,0,0,20190101,20190621
ATB:Timetable:1600036-2019-01-01,1,1,0,0,1,0,0,20190101,20190622
ATB:Timetable:1600023-2019-01-01,0,0,1,0,1,0,0,20190101,20190622
ATB:Timetable:1600026-2019-01-01,0,1,0,1,0,0,0,20190101,20190621
ATB:Timetable:1600039-2019-01-01,1,1,1,0,1,0,0,20190101,20190622
ATB:Timetable:1600032-2019-01-01,1,0,1,0,1,0,0,20190101,20190622
ATB:Timetable:1600022-2019-01-01,0,0,1,0,0,0,0,20190101,20190620
ATB:Timetable:1600027-2019-01-01,0,1,0,1,1,0,0,20190101,20190622
ATB:Timetable:1600037-2019-01-01,1,1,0,1,1,0,0,20190101,20190622
ATB:Timetable:1600040-2019-01-01,1,1,1,1,0,0,0,20190101,20190621
ATB:Timetable:1600020-2019-01-01,0,0,0,1,0,0,0,20190101,20190621
ATB:Timetable:1600029-2019-01-01,0,1,1,1,1,0,0,20190101,20190622
ATB:Timetable:1600024-2019-01-01,0,1,0,0,0,0,0,20190101,20190619
ATB:Timetable:1600025-2019-01-01,0,1,0,0,1,0,0,20190101,20190622
ATB:Timetable:1600034-2019-01-01,1,0,1,1,1,0,0,20190101,20190622
ATB:Timetable:1600030-2019-01-01,1,0,0,1,0,0,0,20190101,20190621
ATB:Timetable:1600019-2019-01-01,0,0,0,0,1,0,0,20190101,20190622
