service_id,date,exception_type
ATB:Timetable:1600513-2018-12-24,20181227,1
ATB:Timetable:1600513-2018-12-24,20181228,1
ATB:Timetable:1600513-2018-12-24,20181229,1
ATB:Timetable:1600513-2018-12-24,20181231,1
ATB:Timetable:1600503-2018-12-24,20181226,1
ATB:Timetable:1600503-2018-12-24,20181230,1
ATB:Timetable:1600295-2018-12-24,20181226,1
ATB:Timetable:1600295-2018-12-24,20181230,1
ATB:Timetable:1600533-2018-12-24,20181227,1
ATB:Timetable:1600533-2018-12-24,20181228,1
ATB:Timetable:1600533-2018-12-24,20181229,1
ATB:Timetable:1600533-2018-12-24,20181231,1
ATB:Timetable:1600916-2018-12-24,20181227,1
ATB:Timetable:1600916-2018-12-24,20181228,1
ATB:Timetable:1600916-2018-12-24,20181229,1
ATB:Timetable:1600916-2018-12-24,20181231,1
ATB:Timetable:1600275-2018-12-24,20181227,1
ATB:Timetable:1600275-2018-12-24,20181228,1
ATB:Timetable:1600275-2018-12-24,20181229,1
ATB:Timetable:1600275-2018-12-24,20181231,1
ATB:Timetable:1600523-2018-12-24,20181227,1
ATB:Timetable:1600523-2018-12-24,20181228,1
ATB:Timetable:1600523-2018-12-24,20181229,1
ATB:Timetable:1600523-2018-12-24,20181231,1
ATB:Timetable:1600120-2018-12-24,20181227,1
ATB:Timetable:1600120-2018-12-24,20181228,1
ATB:Timetable:1600120-2018-12-24,20181229,1
ATB:Timetable:1600120-2018-12-24,20181231,1
ATB:Timetable:1600130-2018-12-24,20181227,1
ATB:Timetable:1600130-2018-12-24,20181228,1
ATB:Timetable:1600130-2018-12-24,20181229,1
ATB:Timetable:1600130-2018-12-24,20181231,1
ATB:Timetable:1600007-2018-12-24,20181231,1
ATB:Timetable:1600906-2018-12-24,20181227,1
ATB:Timetable:1600906-2018-12-24,20181228,1
ATB:Timetable:1600906-2018-12-24,20181229,1
ATB:Timetable:1600906-2018-12-24,20181231,1
ATB:Timetable:1600593-2018-12-24,20181227,1
ATB:Timetable:1600593-2018-12-24,20181228,1
ATB:Timetable:1600593-2018-12-24,20181229,1
ATB:Timetable:1600593-2018-12-24,20181231,1
ATB:Timetable:1601260-2018-12-24,20181224,1
ATB:Timetable:1601260-2018-12-24,20181231,1
ATB:Timetable:1600583-2018-12-24,20181227,1
ATB:Timetable:1600583-2018-12-24,20181228,1
ATB:Timetable:1600583-2018-12-24,20181229,1
ATB:Timetable:1600583-2018-12-24,20181231,1
ATB:Timetable:1600801-2018-12-24,20181227,1
ATB:Timetable:1600801-2018-12-24,20181228,1
ATB:Timetable:1600801-2018-12-24,20181229,1
ATB:Timetable:1600801-2018-12-24,20181231,1
ATB:Timetable:1600553-2018-12-24,20181227,1
ATB:Timetable:1600553-2018-12-24,20181228,1
ATB:Timetable:1600553-2018-12-24,20181229,1
ATB:Timetable:1600553-2018-12-24,20181231,1
ATB:Timetable:1600100-2018-12-24,20181227,1
ATB:Timetable:1600100-2018-12-24,20181228,1
ATB:Timetable:1600100-2018-12-24,20181229,1
ATB:Timetable:1600100-2018-12-24,20181231,1
ATB:Timetable:1600563-2018-12-24,20181227,1
ATB:Timetable:1600563-2018-12-24,20181228,1
ATB:Timetable:1600563-2018-12-24,20181229,1
ATB:Timetable:1600563-2018-12-24,20181231,1
ATB:Timetable:1601290-2018-12-24,20181224,1
ATB:Timetable:1601290-2018-12-24,20181229,1
ATB:Timetable:1601290-2018-12-24,20181231,1
ATB:Timetable:1600738-2018-12-24,20181226,1
ATB:Timetable:1600738-2018-12-24,20181230,1
ATB:Timetable:1600038-2019-01-01,20190101,2
ATB:Timetable:1600038-2019-01-01,20190422,2
ATB:Timetable:1600038-2019-01-01,20190501,2
ATB:Timetable:1600038-2019-01-01,20190610,2
ATB:Timetable:1600041-2019-01-01,20190101,2
ATB:Timetable:1600041-2019-01-01,20190418,2
ATB:Timetable:1600041-2019-01-01,20190419,2
ATB:Timetable:1600041-2019-01-01,20190422,2
ATB:Timetable:1600041-2019-01-01,20190501,2
ATB:Timetable:1600041-2019-01-01,20190517,2
ATB:Timetable:1600041-2019-01-01,20190530,2
ATB:Timetable:1600041-2019-01-01,20190610,2
ATB:Timetable:1600051-2019-01-01,20190106,1
ATB:Timetable:1600051-2019-01-01,20190113,1
ATB:Timetable:1600051-2019-01-01,20190120,1
ATB:Timetable:1600051-2019-01-01,20190127,1
ATB:Timetable:1600051-2019-01-01,20190203,1
ATB:Timetable:1600051-2019-01-01,20190210,1
ATB:Timetable:1600051-2019-01-01,20190217,1
ATB:Timetable:1600051-2019-01-01,20190224,1
ATB:Timetable:1600051-2019-01-01,20190303,1
ATB:Timetable:1600051-2019-01-01,20190310,1
ATB:Timetable:1600051-2019-01-01,20190317,1
ATB:Timetable:1600051-2019-01-01,20190324,1
ATB:Timetable:1600051-2019-01-01,20190331,1
ATB:Timetable:1600051-2019-01-01,20190407,1
ATB:Timetable:1600051-2019-01-01,20190414,1
ATB:Timetable:1600051-2019-01-01,20190418,1
ATB:Timetable:1600051-2019-01-01,20190419,1
ATB:Timetable:1600051-2019-01-01,20190421,1
ATB:Timetable:1600051-2019-01-01,20190422,1
ATB:Timetable:1600051-2019-01-01,20190428,1
ATB:Timetable:1600051-2019-01-01,20190501,1
ATB:Timetable:1600051-2019-01-01,20190505,1
ATB:Timetable:1600051-2019-01-01,20190512,1
ATB:Timetable:1600051-2019-01-01,20190519,1
ATB:Timetable:1600051-2019-01-01,20190526,1
ATB:Timetable:1600051-2019-01-01,20190530,1
ATB:Timetable:1600051-2019-01-01,20190602,1
ATB:Timetable:1600051-2019-01-01,20190609,1
ATB:Timetable:1600051-2019-01-01,20190610,1
ATB:Timetable:1600051-2019-01-01,20190616,1
ATB:Timetable:1600051-2019-01-01,20190623,1
ATB:Timetable:1600097-2018-12-24,20181227,1
ATB:Timetable:1600097-2018-12-24,20181228,1
ATB:Timetable:1600097-2018-12-24,20181229,1
ATB:Timetable:1600097-2018-12-24,20181231,1
ATB:Timetable:1600090-2018-12-24,20181227,1
ATB:Timetable:1600090-2018-12-24,20181228,1
ATB:Timetable:1600090-2018-12-24,20181229,1
ATB:Timetable:1600090-2018-12-24,20181231,1
ATB:Timetable:1600048-2019-01-01,20190106,1
ATB:Timetable:1600048-2019-01-01,20190113,1
ATB:Timetable:1600048-2019-01-01,20190120,1
ATB:Timetable:1600048-2019-01-01,20190127,1
ATB:Timetable:1600048-2019-01-01,20190203,1
ATB:Timetable:1600048-2019-01-01,20190210,1
ATB:Timetable:1600048-2019-01-01,20190217,1
ATB:Timetable:1600048-2019-01-01,20190224,1
ATB:Timetable:1600048-2019-01-01,20190303,1
ATB:Timetable:1600048-2019-01-01,20190310,1
ATB:Timetable:1600048-2019-01-01,20190317,1
ATB:Timetable:1600048-2019-01-01,20190324,1
ATB:Timetable:1600048-2019-01-01,20190331,1
ATB:Timetable:1600048-2019-01-01,20190407,1
ATB:Timetable:1600048-2019-01-01,20190414,1
ATB:Timetable:1600048-2019-01-01,20190418,1
ATB:Timetable:1600048-2019-01-01,20190419,1
ATB:Timetable:1600048-2019-01-01,20190421,1
ATB:Timetable:1600048-2019-01-01,20190422,1
ATB:Timetable:1600048-2019-01-01,20190428,1
ATB:Timetable:1600048-2019-01-01,20190501,1
ATB:Timetable:1600048-2019-01-01,20190505,1
ATB:Timetable:1600048-2019-01-01,20190512,1
ATB:Timetable:1600048-2019-01-01,20190519,1
ATB:Timetable:1600048-2019-01-01,20190526,1
ATB:Timetable:1600048-2019-01-01,20190530,1
ATB:Timetable:1600048-2019-01-01,20190602,1
ATB:Timetable:1600048-2019-01-01,20190609,1
ATB:Timetable:1600048-2019-01-01,20190610,1
ATB:Timetable:1600048-2019-01-01,20190616,1
ATB:Timetable:1600048-2019-01-01,20190623,1
ATB:Timetable:1600861-2018-12-24,20181226,1
ATB:Timetable:1600861-2018-12-24,20181230,1
ATB:Timetable:1600731-2018-12-24,20181226,1
ATB:Timetable:1600731-2018-12-24,20181230,1
ATB:Timetable:1600751-2018-12-24,20181230,1
ATB:Timetable:1600058-2019-01-01,20190106,1
ATB:Timetable:1600058-2019-01-01,20190113,1
ATB:Timetable:1600058-2019-01-01,20190120,1
ATB:Timetable:1600058-2019-01-01,20190127,1
ATB:Timetable:1600058-2019-01-01,20190203,1
ATB:Timetable:1600058-2019-01-01,20190210,1
ATB:Timetable:1600058-2019-01-01,20190217,1
ATB:Timetable:1600058-2019-01-01,20190224,1
ATB:Timetable:1600058-2019-01-01,20190303,1
ATB:Timetable:1600058-2019-01-01,20190310,1
ATB:Timetable:1600058-2019-01-01,20190317,1
ATB:Timetable:1600058-2019-01-01,20190324,1
ATB:Timetable:1600058-2019-01-01,20190331,1
ATB:Timetable:1600058-2019-01-01,20190407,1
ATB:Timetable:1600058-2019-01-01,20190414,1
ATB:Timetable:1600058-2019-01-01,20190418,1
ATB:Timetable:1600058-2019-01-01,20190419,1
ATB:Timetable:1600058-2019-01-01,20190421,1
ATB:Timetable:1600058-2019-01-01,20190422,1
ATB:Timetable:1600058-2019-01-01,20190428,1
ATB:Timetable:1600058-2019-01-01,20190501,1
ATB:Timetable:1600058-2019-01-01,20190505,1
ATB:Timetable:1600058-2019-01-01,20190512,1
ATB:Timetable:1600058-2019-01-01,20190519,1
ATB:Timetable:1600058-2019-01-01,20190526,1
ATB:Timetable:1600058-2019-01-01,20190530,1
ATB:Timetable:1600058-2019-01-01,20190602,1
ATB:Timetable:1600058-2019-01-01,20190609,1
ATB:Timetable:1600058-2019-01-01,20190610,1
ATB:Timetable:1600058-2019-01-01,20190616,1
ATB:Timetable:1600058-2019-01-01,20190623,1
ATB:Timetable:1600871-2018-12-24,20181227,1
ATB:Timetable:1600871-2018-12-24,20181228,1
ATB:Timetable:1600871-2018-12-24,20181229,1
ATB:Timetable:1600871-2018-12-24,20181231,1
ATB:Timetable:1600831-2018-12-24,20181227,1
ATB:Timetable:1600831-2018-12-24,20181228,1
ATB:Timetable:1600831-2018-12-24,20181229,1
ATB:Timetable:1600831-2018-12-24,20181231,1
ATB:Timetable:1600018-2019-01-01,20190517,1
ATB:Timetable:1600021-2019-01-01,20190418,2
ATB:Timetable:1600021-2019-01-01,20190419,2
ATB:Timetable:1600021-2019-01-01,20190517,2
ATB:Timetable:1600021-2019-01-01,20190530,2
ATB:Timetable:1600031-2019-01-01,20190422,2
ATB:Timetable:1600031-2019-01-01,20190501,2
ATB:Timetable:1600031-2019-01-01,20190610,2
ATB:Timetable:1600028-2019-01-01,20190101,2
ATB:Timetable:1600028-2019-01-01,20190418,2
ATB:Timetable:1600028-2019-01-01,20190501,2
ATB:Timetable:1600028-2019-01-01,20190530,2
ATB:Timetable:1600077-2018-12-24,20181227,1
ATB:Timetable:1600077-2018-12-24,20181228,1
ATB:Timetable:1600077-2018-12-24,20181229,1
ATB:Timetable:1600077-2018-12-24,20181231,1
ATB:Timetable:1600080-2018-12-24,20181227,1
ATB:Timetable:1600080-2018-12-24,20181228,1
ATB:Timetable:1600080-2018-12-24,20181229,1
ATB:Timetable:1600080-2018-12-24,20181231,1
ATB:Timetable:1600648-2018-12-24,20181227,1
ATB:Timetable:1600648-2018-12-24,20181228,1
ATB:Timetable:1600648-2018-12-24,20181229,1
ATB:Timetable:1600648-2018-12-24,20181231,1
ATB:Timetable:1600721-2018-12-24,20181227,1
ATB:Timetable:1600721-2018-12-24,20181228,1
ATB:Timetable:1600721-2018-12-24,20181229,1
ATB:Timetable:1600721-2018-12-24,20181231,1
ATB:Timetable:1600758-2018-12-24,20181227,1
ATB:Timetable:1600758-2018-12-24,20181228,1
ATB:Timetable:1600758-2018-12-24,20181229,1
ATB:Timetable:1600758-2018-12-24,20181231,1
ATB:Timetable:1601107-2018-12-24,20181230,1
ATB:Timetable:1600057-2018-12-24,20181224,1
ATB:Timetable:1600057-2018-12-24,20181227,1
ATB:Timetable:1600057-2018-12-24,20181228,1
ATB:Timetable:1600057-2018-12-24,20181229,1
ATB:Timetable:1600057-2018-12-24,20181231,1
ATB:Timetable:1600678-2018-12-24,20181227,1
ATB:Timetable:1600678-2018-12-24,20181228,1
ATB:Timetable:1600678-2018-12-24,20181229,1
ATB:Timetable:1600678-2018-12-24,20181231,1
ATB:Timetable:1600788-2018-12-24,20181227,1
ATB:Timetable:1600788-2018-12-24,20181228,1
ATB:Timetable:1600788-2018-12-24,20181229,1
ATB:Timetable:1600788-2018-12-24,20181231,1
ATB:Timetable:1600778-2018-12-24,20181227,1
ATB:Timetable:1600778-2018-12-24,20181228,1
ATB:Timetable:1600778-2018-12-24,20181229,1
ATB:Timetable:1600778-2018-12-24,20181231,1
ATB:Timetable:1600741-2018-12-24,20181227,1
ATB:Timetable:1600741-2018-12-24,20181228,1
ATB:Timetable:1600741-2018-12-24,20181229,1
ATB:Timetable:1600741-2018-12-24,20181231,1
ATB:Timetable:1601147-2018-12-24,20181231,1
ATB:Timetable:1600150-2018-12-24,20181227,1
ATB:Timetable:1600150-2018-12-24,20181228,1
ATB:Timetable:1600150-2018-12-24,20181229,1
ATB:Timetable:1600150-2018-12-24,20181231,1
ATB:Timetable:1601227-2018-12-24,20181224,1
ATB:Timetable:1601227-2018-12-24,20181231,1
ATB:Timetable:1600688-2018-12-24,20181227,1
ATB:Timetable:1600688-2018-12-24,20181228,1
ATB:Timetable:1600688-2018-12-24,20181229,1
ATB:Timetable:1600688-2018-12-24,20181231,1
ATB:Timetable:1600881-2018-12-24,20181227,1
ATB:Timetable:1600881-2018-12-24,20181228,1
ATB:Timetable:1600881-2018-12-24,20181229,1
ATB:Timetable:1600881-2018-12-24,20181231,1
ATB:Timetable:1600791-2018-12-24,20181227,1
ATB:Timetable:1600791-2018-12-24,20181228,1
ATB:Timetable:1600791-2018-12-24,20181229,1
ATB:Timetable:1600791-2018-12-24,20181231,1
ATB:Timetable:1600180-2018-12-24,20181226,1
ATB:Timetable:1600180-2018-12-24,20181230,1
ATB:Timetable:1600170-2018-12-24,20181227,1
ATB:Timetable:1600170-2018-12-24,20181228,1
ATB:Timetable:1600170-2018-12-24,20181229,1
ATB:Timetable:1600170-2018-12-24,20181231,1
ATB:Timetable:1600403-2018-12-24,20181227,1
ATB:Timetable:1600403-2018-12-24,20181228,1
ATB:Timetable:1600403-2018-12-24,20181229,1
ATB:Timetable:1600403-2018-12-24,20181231,1
ATB:Timetable:1600876-2018-12-24,20181227,1
ATB:Timetable:1600876-2018-12-24,20181228,1
ATB:Timetable:1600876-2018-12-24,20181229,1
ATB:Timetable:1600876-2018-12-24,20181231,1
ATB:Timetable:1600856-2018-12-24,20181230,1
ATB:Timetable:1600623-2018-12-24,20181227,1
ATB:Timetable:1600623-2018-12-24,20181228,1
ATB:Timetable:1600623-2018-12-24,20181229,1
ATB:Timetable:1600623-2018-12-24,20181231,1
ATB:Timetable:1600603-2018-12-24,20181227,1
ATB:Timetable:1600603-2018-12-24,20181228,1
ATB:Timetable:1600603-2018-12-24,20181229,1
ATB:Timetable:1600603-2018-12-24,20181231,1
ATB:Timetable:1600433-2018-12-24,20181227,1
ATB:Timetable:1600433-2018-12-24,20181228,1
ATB:Timetable:1600433-2018-12-24,20181229,1
ATB:Timetable:1600433-2018-12-24,20181231,1
ATB:Timetable:1600613-2018-12-24,20181227,1
ATB:Timetable:1600613-2018-12-24,20181228,1
ATB:Timetable:1600613-2018-12-24,20181229,1
ATB:Timetable:1600613-2018-12-24,20181231,1
ATB:Timetable:1600643-2018-12-24,20181227,1
ATB:Timetable:1600643-2018-12-24,20181228,1
ATB:Timetable:1600643-2018-12-24,20181229,1
ATB:Timetable:1600643-2018-12-24,20181231,1
ATB:Timetable:1600816-2018-12-24,20181227,1
ATB:Timetable:1600816-2018-12-24,20181228,1
ATB:Timetable:1600816-2018-12-24,20181229,1
ATB:Timetable:1600816-2018-12-24,20181231,1
ATB:Timetable:1600423-2018-12-24,20181227,1
ATB:Timetable:1600423-2018-12-24,20181228,1
ATB:Timetable:1600423-2018-12-24,20181229,1
ATB:Timetable:1600423-2018-12-24,20181231,1
ATB:Timetable:1600413-2018-12-24,20181230,1
ATB:Timetable:1600886-2018-12-24,20181227,1
ATB:Timetable:1600886-2018-12-24,20181228,1
ATB:Timetable:1600886-2018-12-24,20181229,1
ATB:Timetable:1600886-2018-12-24,20181231,1
ATB:Timetable:1600806-2018-12-24,20181227,1
ATB:Timetable:1600806-2018-12-24,20181228,1
ATB:Timetable:1600806-2018-12-24,20181229,1
ATB:Timetable:1600806-2018-12-24,20181231,1
ATB:Timetable:1600483-2018-12-24,20181227,1
ATB:Timetable:1600483-2018-12-24,20181228,1
ATB:Timetable:1600483-2018-12-24,20181229,1
ATB:Timetable:1600483-2018-12-24,20181231,1
ATB:Timetable:1600683-2018-12-24,20181227,1
ATB:Timetable:1600683-2018-12-24,20181228,1
ATB:Timetable:1600683-2018-12-24,20181229,1
ATB:Timetable:1600683-2018-12-24,20181231,1
ATB:Timetable:1600901-2018-12-24,20181227,1
ATB:Timetable:1600901-2018-12-24,20181228,1
ATB:Timetable:1600901-2018-12-24,20181229,1
ATB:Timetable:1600901-2018-12-24,20181231,1
ATB:Timetable:1600473-2018-12-24,20181227,1
ATB:Timetable:1600473-2018-12-24,20181228,1
ATB:Timetable:1600473-2018-12-24,20181229,1
ATB:Timetable:1600473-2018-12-24,20181231,1
ATB:Timetable:1600921-2018-12-24,20181227,1
